paws.acm	acm
paws.acmpca	acm-pca
paws.alexaforbusiness	alexaforbusiness
paws.apigateway	apigateway
paws.applicationautoscaling	application-autoscaling
paws.appstream	appstream
paws.appsync	appsync
paws.athena	athena
paws.autoscaling	autoscaling
paws.autoscalingplans	autoscaling-plans
paws.migrationhub	AWSMigrationHub
paws.batch	batch
paws.budgets	budgets
paws.costexplorer	ce
paws.chime	chime
paws.cloud9	cloud9
paws.clouddirectory	clouddirectory
paws.cloudformation	cloudformation
paws.cloudfront	cloudfront
paws.cloudhsm	cloudhsm
paws.cloudhsmv2	cloudhsmv2
paws.cloudsearch	cloudsearch
paws.cloudsearchdomain	cloudsearchdomain
paws.cloudtrail	cloudtrail
paws.codebuild	codebuild
paws.codecommit	codecommit
paws.codedeploy	codedeploy
paws.codepipeline	codepipeline
paws.codestar	codestar
paws.cognitoidentity	cognito-identity
paws.cognitoidentityprovider	cognito-idp
paws.cognitosync	cognito-sync
paws.comprehend	comprehend
paws.configservice	config
paws.connect	connect
paws.costandusagereportservice	cur
paws.datapipeline	datapipeline
paws.dax	dax
paws.devicefarm	devicefarm
paws.directconnect	directconnect
paws.applicationdiscoveryservice	discovery
paws.dlm	dlm
paws.databasemigrationservice	dms
paws.directoryservice	ds
paws.dynamodb	dynamodb
paws.ec2	ec2
paws.ecr	ecr
paws.ecs	ecs
paws.eks	eks
paws.elasticache	elasticache
paws.elasticbeanstalk	elasticbeanstalk
paws.efs	elasticfilesystem
paws.elb	elasticloadbalancing
paws.elbv2	elasticloadbalancingv2
paws.emr	elasticmapreduce
paws.elastictranscoder	elastictranscoder
paws.ses	email
paws.marketplaceentitlementservice	entitlement.marketplace
paws.elasticsearchservice	es
paws.cloudwatchevents	events
paws.firehose	firehose
paws.fms	fms
paws.gamelift	gamelift
paws.glacier	glacier
paws.glue	glue
paws.greengrass	greengrass
paws.guardduty	guardduty
paws.health	health
paws.iam	iam
paws.importexport	importexport
paws.inspector	inspector
paws.iot	iot
paws.iotdataplane	iot-data
paws.iotjobsdataplane	iot-jobs-data
paws.iot1clickdevicesservice	iot1click-devices
paws.iot1clickprojects	iot1click-projects
paws.iotanalytics	iotanalytics
paws.kinesis	kinesis
paws.kinesisvideoarchivedmedia	kinesis-video-archived-media
paws.kinesisvideomedia	kinesis-video-media
paws.kinesisanalytics	kinesisanalytics
paws.kinesisvideo	kinesisvideo
paws.kms	kms
paws.lambda	lambda
paws.lexmodelbuildingservice	lex-models
paws.lightsail	lightsail
paws.cloudwatchlogs	logs
paws.machinelearning	machinelearning
paws.macie	macie
paws.marketplacecommerceanalytics	marketplacecommerceanalytics
paws.mediaconvert	mediaconvert
paws.medialive	medialive
paws.mediapackage	mediapackage
paws.mediastore	mediastore
paws.mediastoredata	mediastore-data
paws.mediatailor	mediatailor
paws.marketplacemetering	meteringmarketplace
paws.mobile	mobile
paws.mobileanalytics	mobileanalytics
paws.cloudwatch	monitoring
paws.mq	mq
paws.mturk	mturk-requester
paws.neptune	neptune
paws.opsworks	opsworks
paws.opsworkscm	opsworkscm
paws.organizations	organizations
paws.pi	pi
paws.pinpoint	pinpoint
paws.polly	polly
paws.pricing	pricing
paws.rds	rds
paws.redshift	redshift
paws.rekognition	rekognition
paws.resourcegroups	resource-groups
paws.resourcegroupstaggingapi	resourcegroupstaggingapi
paws.route53	route53
paws.route53domains	route53domains
paws.lexruntimeservice	runtime.lex
paws.sagemakerruntime	runtime.sagemaker
paws.s3	s3
paws.sagemaker	sagemaker
paws.simpledb	sdb
paws.secretsmanager	secretsmanager
paws.serverlessapplicationrepository	serverlessrepo
paws.servicecatalog	servicecatalog
paws.servicediscovery	servicediscovery
paws.shield	shield
paws.signer	signer
paws.sms	sms
paws.snowball	snowball
paws.sns	sns
paws.sqs	sqs
paws.ssm	ssm
paws.sfn	states
paws.storagegateway	storagegateway
paws.dynamodbstreams	streams.dynamodb
paws.sts	sts
paws.support	support
paws.swf	swf
paws.transcribeservice	transcribe
paws.translate	translate
paws.waf	waf
paws.wafregional	waf-regional
paws.workdocs	workdocs
paws.workmail	workmail
paws.workspaces	workspaces
paws.xray	xray
